eig
   ;eigenvalue;percentage of variance;cumulative percentage of variance;
comp 1;2.9185;72.9624;72.9624;
comp 2;0.914;22.8508;95.8132;
comp 3;0.1468;3.6689;99.4821;
comp 4;0.0207;0.5179;100;

var
coord
   ;Dim.1;Dim.2;Dim.3;Dim.4;
47;-2.3847;1.1204;0.0572;0.1522;
48;-2.3944;-0.3862;0.1395;0.0488;
49;-2.2294;0.998;-0.1815;0.0149;
50;-2.2038;0.0092;-0.153;-0.0494;
51;1.1018;0.863;-0.6846;-0.0348;
52;0.7313;0.5946;-0.0941;-0.0049;
53;1.241;0.6163;-0.554;-0.0094;
54;0.4075;-1.7544;-0.0231;-0.0658;
55;1.0755;-0.2084;-0.3983;-0.1047;
56;0.3887;-0.5933;0.1242;0.2408;
57;0.7465;0.773;0.149;0.0774;
58;-0.4873;-1.8524;0.2493;0.0405;
59;0.9279;0.0322;-0.5962;0.0299;
60;0.0114;-1.034;0.5389;0.0285;
61;-0.1102;-2.6541;-0.0468;-0.0138;
62;0.4407;-0.0633;0.2051;-0.0401;
63;0.5621;-1.7647;-0.7658;-0.0457;
64;0.7196;-0.1862;-0.0687;0.1648;
65;-0.0334;-0.439;0.1949;-0.109;
66;0.8754;0.5091;-0.5035;-0.1049;
67;0.3503;-0.1963;0.4909;0.1915;
68;0.1588;-0.7921;-0.302;0.2053;
69;1.2251;-1.6222;-0.4823;-0.2259;
70;0.1649;-1.3026;-0.1728;0.0517;
71;0.7377;0.3966;0.6165;0.0833;
72;0.4763;-0.4173;-0.265;-0.1136;
73;1.2342;-0.9333;-0.3684;0.0099;
74;0.6329;-0.4164;-0.2919;0.2742;
75;0.7027;-0.0634;-0.446;-0.0435;
76;0.8743;0.2508;-0.4726;-0.1017;
77;1.2565;-0.0773;-0.7272;-0.0397;
78;1.3584;0.3313;-0.2608;-0.0668;
79;0.6648;-0.2259;0.0859;0.0364;
80;-0.0403;-1.0587;-0.3196;-0.0648;
81;0.1308;-1.5623;-0.15;0.0094;
82;0.0235;-1.5725;-0.2416;0.0328;
83;0.2415;-0.7773;-0.1512;-0.0237;
84;1.0611;-0.6338;0.1053;0.184;
85;0.224;-0.2878;0.6652;0.2548;
86;0.4291;0.8456;0.4506;0.1097;
87;1.0487;0.5221;-0.3958;-0.0372;
88;1.0445;-1.383;-0.6883;-0.1368;
89;0.0696;-0.2195;0.2916;0.1471;
90;0.2835;-1.3293;0.0894;-0.0089;
91;0.2791;-1.12;0.0945;0.2707;
92;0.6246;0.0249;-0.0205;0.1477;
93;0.3365;-0.9884;-0.1994;-0.0065;
94;-0.3622;-2.0192;0.1058;-0.0196;
95;0.2886;-0.8557;0.1309;0.1074;
96;0.0914;-0.1812;0.129;0.23;
97;0.2277;-0.3849;0.1562;0.1326;
98;0.5764;-0.1549;-0.2717;0.0199;
99;-0.4477;-1.5438;0.1904;-0.1999;
100;0.2567;-0.5989;0.0919;0.0586;
101;1.8446;0.8704;1.0054;0.0492;
102;1.1579;-0.6989;0.5302;0.0405;
103;2.2053;0.562;-0.2029;-0.0592;
104;1.4402;-0.047;0.1636;0.2358;
105;1.8678;0.295;0.3956;0.0163;
106;2.7519;0.8004;-0.5823;0.1014;
107;0.367;-1.5615;0.9869;0.1331;
108;2.3024;0.4201;-0.6517;0.238;
109;2.0067;-0.7114;-0.394;0.0865;
110;2.2598;1.921;0.3976;-0.1048;
111;1.3642;0.6928;0.2846;-0.1079;
112;1.6027;-0.4217;0.0232;-0.0583;
113;1.8839;0.4192;0.0263;-0.1464;
114;1.2601;-1.1623;0.5802;-0.0992;
115;1.4676;-0.4423;1.0039;-0.2757;
116;1.5901;0.6762;0.6384;-0.1919;
117;1.4714;0.2556;0.0374;0.1553;
118;2.4263;2.5567;-0.1279;0.2738;
119;3.3107;0.0178;-0.7033;-0.0452;
120;1.2638;-1.7067;-0.2675;0.0652;
121;2.0377;0.9105;0.2348;-0.168;
122;0.978;-0.5718;0.8281;-0.0278;
123;2.8977;0.4136;-0.8574;0.1273;
124;1.3332;-0.4818;-0.0054;-0.14;
125;1.7007;1.0139;0.2985;0.0616;
126;1.9543;1.0078;-0.42;0.2183;
127;1.1751;-0.3164;0.1299;-0.1254;
128;1.021;0.0643;0.3377;0.0087;
129;1.7883;-0.1874;0.2707;-0.0311;
130;1.8636;0.5623;-0.7156;0.2082;
131;2.436;0.2593;-0.7278;0.0179;
132;2.3049;2.6263;-0.4935;0.2117;
133;1.8627;-0.1785;0.3541;-0.1;
134;1.1141;-0.2929;-0.1835;0.1863;
135;1.2025;-0.8113;-0.1647;0.4895;
136;2.7988;0.8568;-0.5429;-0.2959;
137;1.5763;1.0686;0.9459;-0.0356;
138;1.3463;0.4224;0.1809;0.2154;
139;0.9248;0.0172;0.4168;-0.0052;
140;1.852;0.6761;-0.0127;-0.1952;
141;2.0148;0.6139;0.4283;-0.2475;
142;1.9018;0.6896;0.1301;-0.4697;
143;1.1579;-0.6989;0.5302;0.0405;
144;2.0406;0.8675;0.3381;-0.0452;
145;1.9981;1.0492;0.6324;-0.214;
146;1.8705;0.387;0.2563;-0.3893;
147;1.5646;-0.8967;-0.0264;-0.2202;
148;1.5212;0.2691;0.1802;-0.1192;
149;1.3728;1.0113;0.9334;-0.0261;
150;0.9607;-0.0243;0.5282;0.1631;

cos2
   ;Dim.1;Dim.2;Dim.3;Dim.4;
1;0.954;0.0429;0.003;1e-04;
2;0.8928;0.0937;0.0113;0.0022;
3;0.979;0.0205;3e-04;1e-04;
4;0.9347;0.0631;0.0015;8e-04;
5;0.9315;0.0682;0;2e-04;
6;0.6601;0.3398;1e-04;0;
7;0.9809;4e-04;0.0185;2e-04;
8;0.9884;0.0099;0.0016;1e-04;
9;0.8115;0.1852;0.0031;1e-04;
10;0.9435;0.0435;0.0127;3e-04;
11;0.8016;0.1861;0.0123;0;
12;0.9919;0.0032;0.0016;0.0033;
13;0.8939;0.0964;0.0097;0;
14;0.8786;0.1172;0.0041;0;
15;0.565;0.4044;0.0261;0.0044;
16;0.4148;0.5849;1e-04;2e-04;
17;0.6854;0.3096;0;0.005;
18;0.9506;0.0473;4e-04;0.0017;
19;0.6299;0.345;0.0245;7e-04;
20;0.8096;0.1875;0.0026;2e-04;
21;0.914;0.0417;0.0443;0;
22;0.8465;0.1484;0.0044;6e-04;
23;0.96;0.0262;0.0138;0;
24;0.9906;0.0022;4e-04;0.0068;
25;0.9791;0.0037;0.0027;0.0144;
26;0.8867;0.0911;0.0217;4e-04;
27;0.9835;0.0137;0.0017;0.0011;
28;0.9361;0.0553;0.0085;0;
29;0.9624;0.0206;0.0155;0.0015;
30;0.9752;0.0217;9e-04;0.0022;
31;0.9458;0.0526;0.0012;5e-04;
32;0.9154;0.049;0.02;0.0157;
33;0.6764;0.3182;2e-04;0.0052;
34;0.5635;0.4356;6e-04;2e-04;
35;0.9485;0.0451;0.0062;2e-04;
36;0.9756;0.0085;0.0102;0.0057;
37;0.8547;0.0894;0.048;0.0079;
38;0.9453;0.0519;1e-04;0.0028;
39;0.8735;0.121;0.0055;0;
40;0.9785;0.015;0.0064;0;
41;0.9618;0.0359;2e-04;0.0021;
42;0.3818;0.6042;0.0046;0.0093;
43;0.9522;0.0335;0.0137;6e-04;
44;0.9168;0.053;0.0228;0.0075;
45;0.7668;0.219;0.0104;0.0038;
46;0.89;0.105;8e-04;0.0041;
47;0.8161;0.1801;5e-04;0.0033;
48;0.971;0.0253;0.0033;4e-04;
49;0.8285;0.166;0.0055;0;
50;0.9947;0;0.0048;5e-04;
51;0.4999;0.3067;0.193;5e-04;
52;0.5961;0.394;0.0099;0;
53;0.6916;0.1706;0.1378;0;
54;0.0511;0.9474;2e-04;0.0013;
55;0.8445;0.0317;0.1158;0.008;
56;0.2621;0.6106;0.0268;0.1006;
57;0.4711;0.5051;0.0188;0.0051;
58;0.0636;0.9193;0.0166;4e-04;
59;0.7067;9e-04;0.2917;7e-04;
60;1e-04;0.7859;0.2135;6e-04;
61;0.0017;0.9979;3e-04;0;
62;0.8029;0.0166;0.1739;0.0067;
63;0.0786;0.7749;0.1459;5e-04;
64;0.8861;0.0593;0.0081;0.0465;
65;0.0046;0.7907;0.1559;0.0488;
66;0.5941;0.2009;0.1965;0.0085;
67;0.2795;0.0878;0.5491;0.0836;
68;0.0321;0.7982;0.1161;0.0536;
69;0.3399;0.5959;0.0527;0.0116;
70;0.0155;0.966;0.017;0.0015;
71;0.4999;0.1445;0.3492;0.0064;
72;0.4686;0.3598;0.145;0.0266;
73;0.602;0.3443;0.0536;0;
74;0.5454;0.2361;0.116;0.1024;
75;0.7068;0.0058;0.2848;0.0027;
76;0.7205;0.0593;0.2105;0.0098;
77;0.7464;0.0028;0.25;7e-04;
78;0.9101;0.0541;0.0336;0.0022;
79;0.8809;0.1017;0.0147;0.0026;
80;0.0013;0.9122;0.0831;0.0034;
81;0.0069;0.984;0.0091;0;
82;2e-04;0.9763;0.023;4e-04;
83;0.0851;0.8808;0.0333;8e-04;
84;0.716;0.2555;0.0071;0.0215;
85;0.0783;0.1293;0.691;0.1014;
86;0.1653;0.6417;0.1822;0.0108;
87;0.7187;0.1781;0.1024;9e-04;
88;0.3121;0.5471;0.1355;0.0054;
89;0.0303;0.3017;0.5324;0.1356;
90;0.0433;0.9523;0.0043;0;
91;0.0551;0.8868;0.0063;0.0518;
92;0.9447;0.0015;0.001;0.0528;
93;0.1002;0.8646;0.0352;0;
94;0.0311;0.9662;0.0027;1e-04;
95;0.0986;0.8674;0.0203;0.0137;
96;0.0754;0.2966;0.1503;0.4777;
97;0.2143;0.6122;0.1008;0.0727;
98;0.7719;0.0557;0.1715;9e-04;
99;0.0753;0.896;0.0136;0.015;
100;0.151;0.8218;0.0193;0.0079;
101;0.6577;0.1464;0.1954;5e-04;
102;0.6349;0.2313;0.1331;8e-04;
103;0.931;0.0605;0.0079;7e-04;
104;0.9608;0.001;0.0124;0.0258;
105;0.9347;0.0233;0.0419;1e-04;
106;0.8844;0.0748;0.0396;0.0012;
107;0.0378;0.684;0.2732;0.005;
108;0.8896;0.0296;0.0713;0.0095;
109;0.8576;0.1078;0.0331;0.0016;
110;0.5696;0.4116;0.0176;0.0012;
111;0.7647;0.1972;0.0333;0.0048;
112;0.9339;0.0647;2e-04;0.0012;
113;0.9472;0.0469;2e-04;0.0057;
114;0.4833;0.4112;0.1025;0.003;
115;0.6274;0.057;0.2935;0.0221;
116;0.7371;0.1333;0.1188;0.0107;
117;0.9597;0.029;6e-04;0.0107;
118;0.4704;0.5223;0.0013;0.006;
119;0.9566;0;0.0432;2e-04;
120;0.3483;0.6352;0.0156;9e-04;
121;0.8199;0.1637;0.0109;0.0056;
122;0.4855;0.166;0.3481;4e-04;
123;0.901;0.0184;0.0789;0.0017;
124;0.8759;0.1144;0;0.0097;
125;0.7207;0.2562;0.0222;9e-04;
126;0.755;0.2008;0.0349;0.0094;
127;0.9123;0.0661;0.0112;0.0104;
128;0.8981;0.0036;0.0983;1e-04;
129;0.9669;0.0106;0.0221;3e-04;
130;0.7994;0.0728;0.1179;0.01;
131;0.9086;0.0103;0.0811;0;
132;0.4251;0.5519;0.0195;0.0036;
133;0.954;0.0088;0.0345;0.0028;
134;0.8895;0.0615;0.0241;0.0249;
135;0.6099;0.2776;0.0114;0.1011;
136;0.8753;0.082;0.0329;0.0098;
137;0.5494;0.2525;0.1978;3e-04;
138;0.8756;0.0862;0.0158;0.0224;
139;0.8309;3e-04;0.1688;0;
140;0.8738;0.1165;0;0.0097;
141;0.8672;0.0805;0.0392;0.0131;
142;0.8353;0.1098;0.0039;0.051;
143;0.6349;0.2313;0.1331;8e-04;
144;0.8273;0.1495;0.0227;4e-04;
145;0.7208;0.1987;0.0722;0.0083;
146;0.9051;0.0387;0.017;0.0392;
147;0.7415;0.2436;2e-04;0.0147;
148;0.9511;0.0298;0.0133;0.0058;
149;0.4987;0.2706;0.2305;2e-04;
150;0.7508;5e-04;0.227;0.0216;

contrib
   ;Dim.1;Dim.2;Dim.3;Dim.4;
1;1.1716;0.1681;0.0741;0.0188;
2;0.9892;0.3315;0.25;0.3415;
3;1.2768;0.0853;0.0089;0.0259;
4;1.2077;0.2603;0.0379;0.14;
5;1.3046;0.3052;0.0011;0.0415;
6;0.9841;1.6175;0.0033;0.0014;
7;1.3645;0.0017;0.5112;0.0435;
8;1.1389;0.0363;0.0357;0.0195;
9;1.2451;0.9073;0.0956;0.0232;
10;1.0899;0.1604;0.2925;0.0512;
11;1.072;0.7945;0.3279;0.009;
12;1.236;0.0129;0.0399;0.5734;
13;1.1242;0.3873;0.2422;2e-04;
14;1.5837;0.6743;0.1485;0.0119;
15;1.1043;2.5235;1.0159;1.2204;
16;1.169;5.2632;0.0042;0.0822;
17;1.1132;1.6054;1e-04;1.1474;
18;1.0959;0.1743;0.0089;0.2789;
19;0.8234;1.4398;0.6366;0.1201;
20;1.2544;0.9278;0.0799;0.0459;
21;0.8371;0.1219;0.8063;0.0038;
22;1.1127;0.6229;0.1161;0.1143;
23;1.7582;0.1532;0.5013;0.0124;
24;0.7555;0.0053;0.0054;0.7352;
25;1.1331;0.0137;0.0632;2.3486;
26;0.8702;0.2855;0.4244;0.0611;
27;0.961;0.0428;0.0339;0.1474;
28;1.0742;0.2027;0.1943;0.0034;
29;1.0457;0.0716;0.334;0.2285;
30;1.1722;0.0832;0.0213;0.3773;
31;1.0462;0.1857;0.0256;0.0747;
32;0.7663;0.1309;0.3323;1.8517;
33;1.562;2.3463;0.0101;1.6912;
34;1.3669;3.3738;0.031;0.0748;
35;1.017;0.1545;0.1317;0.0271;
36;1.1135;0.031;0.2309;0.9182;
37;0.9554;0.3192;1.0665;1.2409;
38;1.4591;0.2559;0.0017;0.5997;
39;1.3484;0.5963;0.1697;0.0031;
40;1.0754;0.0527;0.1405;0.0016;
41;1.1942;0.1423;0.0055;0.3683;
42;0.7887;3.9849;0.1895;2.7041;
43;1.4896;0.1674;0.4247;0.1428;
44;0.8815;0.1627;0.4354;1.0093;
45;1.0432;0.9516;0.2804;0.7342;
46;0.9785;0.3688;0.0186;0.6332;
47;1.2991;0.9156;0.0149;0.7458;
48;1.3096;0.1088;0.0884;0.0768;
49;1.1354;0.7264;0.1496;0.0072;
50;1.1094;1e-04;0.1064;0.0784;
51;0.2773;0.5432;2.129;0.0391;
52;0.1222;0.2579;0.0402;8e-04;
53;0.3518;0.277;1.3942;0.0029;
54;0.0379;2.245;0.0024;0.1392;
55;0.2642;0.0317;0.7205;0.353;
56;0.0345;0.2567;0.0701;1.8666;
57;0.1273;0.4358;0.1008;0.1927;
58;0.0542;2.5028;0.2822;0.0528;
59;0.1967;8e-04;1.6145;0.0287;
60;0;0.7798;1.3192;0.0261;
61;0.0028;5.1378;0.0099;0.0061;
62;0.0444;0.0029;0.191;0.0518;
63;0.0722;2.2714;2.6638;0.0673;
64;0.1183;0.0253;0.0214;0.8741;
65;3e-04;0.1406;0.1726;0.3827;
66;0.1751;0.189;1.1517;0.3544;
67;0.028;0.0281;1.0946;1.1803;
68;0.0058;0.4576;0.4144;1.3564;
69;0.3428;1.9195;1.0567;1.6423;
70;0.0062;1.2376;0.1357;0.0861;
71;0.1243;0.1147;1.7267;0.2232;
72;0.0518;0.127;0.3189;0.4151;
73;0.3479;0.6354;0.6166;0.0032;
74;0.0915;0.1265;0.3871;2.4201;
75;0.1128;0.0029;0.9037;0.0608;
76;0.1746;0.0459;1.0145;0.333;
77;0.3606;0.0044;2.402;0.0507;
78;0.4215;0.0801;0.309;0.1437;
79;0.101;0.0372;0.0335;0.0427;
80;4e-04;0.8175;0.4639;0.1351;
81;0.0039;1.7802;0.1022;0.0028;
82;1e-04;1.8035;0.2651;0.0346;
83;0.0133;0.4406;0.1039;0.018;
84;0.2572;0.293;0.0504;1.0892;
85;0.0115;0.0604;2.0104;2.0899;
86;0.0421;0.5215;0.9225;0.3871;
87;0.2512;0.1988;0.7116;0.0446;
88;0.2492;1.395;2.1521;0.6026;
89;0.0011;0.0351;0.3862;0.6968;
90;0.0184;1.2889;0.0363;0.0026;
91;0.0178;0.915;0.0406;2.3576;
92;0.0891;5e-04;0.0019;0.702;
93;0.0259;0.7126;0.1806;0.0014;
94;0.03;2.9739;0.0509;0.0123;
95;0.019;0.5341;0.0778;0.3712;
96;0.0019;0.0239;0.0756;1.7019;
97;0.0118;0.1081;0.1109;0.5659;
98;0.0759;0.0175;0.3352;0.0127;
99;0.0458;1.7383;0.1647;1.2866;
100;0.0151;0.2616;0.0383;0.1106;
101;0.7772;0.5526;4.5919;0.0781;
102;0.3063;0.3562;1.2768;0.0528;
103;1.1109;0.2304;0.187;0.1127;
104;0.4738;0.0016;0.1216;1.789;
105;0.7969;0.0635;0.711;0.0085;
106;1.7298;0.4673;1.5403;0.3308;
107;0.0308;1.7784;4.4244;0.5703;
108;1.2109;0.1287;1.9294;1.8236;
109;0.9198;0.3692;0.7052;0.2409;
110;1.1665;2.6916;0.718;0.3537;
111;0.4251;0.35;0.368;0.3744;
112;0.5867;0.1297;0.0024;0.1095;
113;0.8107;0.1282;0.0032;0.6899;
114;0.3627;0.9853;1.5295;0.3164;
115;0.492;0.1427;4.5779;2.4455;
116;0.5775;0.3335;1.8515;1.1847;
117;0.4946;0.0477;0.0064;0.7765;
118;1.3448;4.7675;0.0743;2.4128;
119;2.5037;2e-04;2.247;0.0657;
120;0.3648;2.1246;0.3251;0.1367;
121;0.9485;0.6046;0.2504;0.9078;
122;0.2185;0.2384;3.1153;0.0248;
123;1.918;0.1248;3.3396;0.5218;
124;0.406;0.1693;1e-04;0.6304;
125;0.6607;0.7498;0.4046;0.1223;
126;0.8725;0.7408;0.8013;1.5342;
127;0.3154;0.073;0.0767;0.5062;
128;0.2381;0.003;0.5181;0.0024;
129;0.7306;0.0256;0.3328;0.0311;
130;0.7934;0.2306;2.3264;1.3952;
131;1.3555;0.049;2.4063;0.0103;
132;1.2136;5.0309;1.1062;1.442;
133;0.7926;0.0233;0.5697;0.3219;
134;0.2836;0.0626;0.1529;1.1175;
135;0.3303;0.4801;0.1233;7.7109;
136;1.7893;0.5354;1.3389;2.8175;
137;0.5675;0.8328;4.064;0.0408;
138;0.414;0.1302;0.1486;1.4935;
139;0.1954;2e-04;0.7893;9e-04;
140;0.7835;0.3334;7e-04;1.2262;
141;0.9273;0.2749;0.8334;1.972;
142;0.8262;0.3468;0.0769;7.1001;
143;0.3063;0.3562;1.2768;0.0528;
144;0.9511;0.5489;0.5194;0.0657;
145;0.912;0.8029;1.8168;1.4745;
146;0.7992;0.1092;0.2983;4.8764;
147;0.5592;0.5864;0.0032;1.5604;
148;0.5286;0.0528;0.1475;0.4571;
149;0.4305;0.7459;3.9577;0.022;
150;0.2108;4e-04;1.2676;0.8559;

dist
2.318663;2.202387;2.389401;2.378389;2.476142;2.554734;2.467679;2.245857;2.591577;2.248834;2.41964;2.335638;2.346448;2.809052;2.925035;3.512439;2.6665;2.246601;2.392179;2.604312;2.002349;2.398753;2.831571;1.827269;2.250776;2.07278;2.06831;2.241315;2.180931;2.293879;2.200598;1.914405;3.179567;3.258615;2.166475;2.23523;2.212152;2.599467;2.599634;2.193382;2.331468;3.006969;2.616971;2.051673;2.440541;2.193901;2.639841;2.429827;2.449391;2.209711;1.558369;0.9472613;1.492268;1.802453;1.170326;0.7592671;1.087678;1.932033;1.103789;1.166425;2.656807;0.4918154;2.004673;0.7644111;0.4936869;1.135791;0.6624551;0.886572;2.10147;1.325344;1.043305;0.6957752;1.590635;0.8569063;0.8358125;1.030014;1.454343;1.423913;0.7083102;1.108526;1.574924;1.591431;0.8281864;1.254039;0.8002967;1.05559;1.237093;1.869807;0.3996176;1.362181;1.189341;0.6426036;1.063012;2.054283;0.9188165;0.3327074;0.4919403;0.656047;1.630929;0.6606152;2.274494;1.45321;2.285549;1.469219;1.931984;2.92623;1.888034;2.44112;2.166944;2.994313;1.559976;1.658418;1.935713;1.812529;1.852924;1.852041;1.501993;3.537642;3.384923;2.141474;2.250462;1.40354;3.052682;1.424524;2.003349;2.249237;1.23028;1.077315;1.818659;2.084428;2.555609;3.535334;1.907083;1.181322;1.539774;2.991575;2.126583;1.438775;1.014578;1.981283;2.163576;2.080825;1.45321;2.243402;2.353531;1.966144;1.816904;1.559815;1.943988;1.108645;
svd
vs
1.708361;0.9560494;0.3830886;0.1439265;
U
   ;
;-1.3257;0.5021;-0.3334;-0.1679;
;-1.2181;-0.7051;-0.6124;-0.7157;
;-1.3839;-0.3576;0.1154;-0.1972;
;-1.346;-0.6249;0.2383;0.4583;
;-1.3989;0.6766;0.0411;0.2496;
;-1.215;1.5576;0.0704;-0.0459;
;-1.4306;0.0498;0.8757;0.2555;
;-1.307;0.2334;-0.2315;0.171;
;-1.3666;-1.1666;0.3787;0.1866;
;-1.2786;-0.4906;-0.6624;0.2772;
;-1.2681;1.0917;-0.7014;-0.1162;
;-1.3616;0.1392;0.2447;0.9274;
;-1.2986;-0.7622;-0.6028;-0.0168;
;-1.5413;-1.0057;0.4719;0.1335;
;-1.287;1.9456;-1.2344;-1.353;
;-1.3242;2.8098;0.0797;-0.3511;
;-1.2922;1.5518;-0.014;-1.3119;
;-1.2821;0.5113;-0.1154;-0.6468;
;-1.1113;1.4696;-0.9772;-0.4245;
;-1.3717;1.1797;0.3462;0.2623;
;-1.1206;0.4277;-1.0997;-0.0759;
;-1.2919;0.9666;0.4173;-0.4141;
;-1.624;0.4794;0.8671;-0.1365;
;-1.0646;0.0895;0.09;-1.0501;
;-1.3037;0.1436;0.308;1.8769;
;-1.1425;-0.6544;-0.7978;-0.3027;
;-1.2007;0.2533;0.2254;-0.4702;
;-1.2694;0.5514;-0.5399;-0.0714;
;-1.2524;0.3276;-0.7078;-0.5854;
;-1.326;-0.3533;0.1786;0.7523;
;-1.2527;-0.5277;-0.1958;0.3348;
;-1.0721;0.4432;-0.706;-1.6666;
;-1.5307;1.876;0.1233;1.5927;
;-1.4319;2.2496;-0.2158;0.335;
;-1.2351;-0.4814;-0.4445;-0.2017;
;-1.2924;-0.2156;-0.5885;-1.1736;
;-1.1971;0.692;-1.2648;-1.3643;
;-1.4794;0.6195;0.0507;0.9484;
;-1.4222;-0.9457;0.5045;0.0677;
;-1.2701;0.2812;-0.4591;-0.049;
;-1.3384;0.462;0.0911;-0.7433;
;-1.0877;-2.4449;-0.5331;-2.014;
;-1.4948;-0.5011;0.7982;0.4627;
;-1.1499;0.494;0.8082;-1.2304;
;-1.2509;1.1947;0.6485;1.0494;
;-1.2115;-0.7437;-0.1669;-0.9746;
;-1.3959;1.1719;0.1494;1.0577;
;-1.4016;-0.404;0.3641;0.3393;
;-1.305;1.0438;-0.4738;0.1037;
;-1.29;0.0096;-0.3995;-0.343;
;0.6449;0.9026;-1.787;-0.242;
;0.4281;0.6219;-0.2457;-0.0341;
;0.7264;0.6446;-1.4462;-0.0655;
;0.2385;-1.8351;-0.0603;-0.457;
;0.6295;-0.218;-1.0396;-0.7277;
;0.2275;-0.6206;0.3242;1.6733;
;0.437;0.8086;0.3889;0.5376;
;-0.2853;-1.9376;0.6507;0.2815;
;0.5432;0.0337;-1.5562;0.2076;
;0.0067;-1.0816;1.4067;0.1977;
;-0.0645;-2.7761;-0.1221;-0.0956;
;0.258;-0.0662;0.5353;-0.2788;
;0.329;-1.8459;-1.9989;-0.3177;
;0.4212;-0.1948;-0.1792;1.1451;
;-0.0195;-0.4592;0.5088;-0.7577;
;0.5124;0.5325;-1.3143;-0.7291;
;0.205;-0.2053;1.2814;1.3306;
;0.093;-0.8285;-0.7884;1.4264;
;0.7171;-1.6968;-1.259;-1.5695;
;0.0965;-1.3625;-0.4512;0.3594;
;0.4318;0.4148;1.6094;0.5787;
;0.2788;-0.4365;-0.6916;-0.7891;
;0.7224;-0.9762;-0.9617;0.0691;
;0.3704;-0.4355;-0.762;1.9053;
;0.4113;-0.0663;-1.1643;-0.3019;
;0.5118;0.2623;-1.2336;-0.7067;
;0.7355;-0.0808;-1.8981;-0.2758;
